mach,altitude_m,altitude_ft,adp_bpr,adp_thrust_kN,adp_core_kN,adp_bypass_kN,adp_isp_s,adp_fuel_kgs,adp_m_core,adp_m_bypass,fix_bpr,fix_thrust_kN,fix_core_kN,fix_bypass_kN,fix_isp_s,fix_fuel_kgs,delta_thrust_kN,delta_isp_s,delta_fuel_kgs,delta_bpr
0.375,6315.8,20721.0,0.2005,27.5047,25.2214,2.2834,3365.89,0.83299,41.6493,8.3507,0.3,26.446,23.291,3.155,3504.56,0.76923,1.0588,-138.67,0.06376,-0.0995
0.45,6315.8,20721.0,0.2955,26.5409,23.4037,3.1372,3504.97,0.7719,38.5951,11.4049,0.3,26.4966,23.3227,3.174,3511.28,0.76923,0.0443,-6.31,0.00267,-0.0045
0.525,6315.8,20721.0,0.438,25.3369,21.1183,4.2186,3714.02,0.69541,34.7705,15.2295,0.3,26.5563,23.3601,3.1962,3519.18,0.76923,-1.2194,194.83,-0.07382,0.138
0.6,6315.8,20721.0,0.5805,24.3772,19.2497,5.1275,3927.44,0.63271,31.6356,18.3644,0.3,26.6249,23.4032,3.2216,3528.27,0.76923,-2.2476,399.17,-0.13652,0.2805
0.675,6315.8,20721.0,0.723,23.6045,17.6945,5.9101,4145.83,0.58038,29.0192,20.9808,0.3,26.7023,23.452,3.2502,3538.53,0.76923,-3.0977,607.31,-0.18885,0.423
0.75,6315.8,20721.0,0.8655,22.9789,16.3808,6.5982,4369.74,0.53605,26.8025,23.1975,0.3,26.7883,23.5064,3.2819,3549.93,0.76923,-3.8094,819.81,-0.23318,0.5655
0.825,6315.8,20721.0,1.008,22.4717,15.2571,7.2146,4599.71,0.49801,24.9004,25.0996,0.3,26.883,23.5664,3.3166,3562.47,0.76923,-4.4113,1037.24,-0.27122,0.708
0.9,6315.8,20721.0,1.1505,22.0616,14.2857,7.7759,4836.24,0.46501,23.2504,26.7496,0.3,26.986,23.6319,3.3541,3576.13,0.76923,-4.9244,1260.11,-0.30422,0.8505
0.975,6315.8,20721.0,1.088,22.4223,14.7575,7.6647,4772.44,0.47893,23.9464,26.0536,0.3,27.0974,23.7029,3.3945,3590.89,0.76923,-4.6751,1181.56,-0.2903,0.788
1.05,6315.8,20721.0,1.0255,22.8037,15.262,7.5418,4708.36,0.49371,24.6853,25.3147,0.3,27.2169,23.7793,3.4375,3606.72,0.76923,-4.4131,1101.64,-0.27553,0.7255
1.125,6315.8,20721.0,0.963,23.2067,15.8021,7.4046,4643.71,0.50942,25.4712,24.5288,0.3,27.3443,23.8612,3.4832,3623.61,0.76923,-4.1376,1020.1,-0.25981,0.663
1.2,6315.8,20721.0,0.9005,23.632,16.3814,7.2506,4578.25,0.52618,26.3089,23.6911,0.3,27.4796,23.9483,3.5313,3641.54,0.76923,-3.8476,936.71,-0.24305,0.6005
1.275,6315.8,20721.0,0.838,24.0805,17.0038,7.0767,4511.71,0.54407,27.2035,22.7965,0.3,27.6226,24.0408,3.5819,3660.49,0.76923,-3.5422,851.22,-0.22516,0.538
1.35,6315.8,20721.0,0.7755,24.5532,17.6739,6.8794,4443.86,0.56322,28.1611,21.8389,0.3,27.7731,24.1384,3.6347,3680.43,0.76923,-3.2199,763.43,-0.20601,0.4755
1.425,6315.8,20721.0,0.713,25.0517,18.3967,6.655,4374.47,0.58377,29.1886,20.8114,0.3,27.9309,24.2412,3.6897,3701.35,0.76923,-2.8792,673.12,-0.18546,0.413
1.5,6315.8,20721.0,0.6505,25.5774,19.1784,6.3991,4303.32,0.60588,30.2939,19.7061,0.3,28.096,24.3491,3.7468,3723.21,0.76923,-2.5185,580.1,-0.16335,0.3505
1.575,6315.8,20721.0,0.588,26.1324,20.0256,6.1068,4230.2,0.62972,31.4861,18.5139,0.3,28.268,24.462,3.806,3746.01,0.76923,-2.1356,484.18,-0.13951,0.288
1.65,6315.8,20721.0,0.5255,26.7189,20.9465,5.7724,4154.91,0.65552,32.7761,17.2239,0.3,28.4469,24.5799,3.867,3769.72,0.76923,-1.728,385.19,-0.11371,0.2255
1.725,6315.8,20721.0,0.463,27.3398,21.9504,5.3893,4077.27,0.68353,34.1763,15.8237,0.3,28.6325,24.7027,3.9299,3794.32,0.76923,-1.2928,282.95,-0.0857,0.163
1.8,6315.8,20721.0,0.4005,27.9983,23.0484,4.9499,3997.11,0.71403,35.7015,14.2985,0.3,28.8247,24.8302,3.9945,3819.78,0.76923,-0.8263,177.33,-0.0552,0.1005
0.0,6947.4,22793.0,0.2056,27.2709,24.9906,2.2803,3351.45,0.82946,41.4731,8.5269,0.3,26.2615,23.1759,3.0856,3480.12,0.76923,1.0093,-128.67,0.06023,-0.0944
0.075,6947.4,22793.0,0.2056,27.2752,24.9937,2.2815,3351.99,0.82946,41.4731,8.5269,0.3,26.2661,23.1788,3.0873,3480.73,0.76923,1.0091,-128.74,0.06023,-0.0944
0.15,6947.4,22793.0,0.2056,27.2883,25.0029,2.2854,3353.59,0.82946,41.4731,8.5269,0.3,26.2799,23.1873,3.0925,3482.55,0.76923,1.0084,-128.96,0.06023,-0.0944
0.225,6947.4,22793.0,0.2056,27.31,25.0183,2.2918,3356.27,0.82946,41.4731,8.5269,0.3,26.3028,23.2016,3.1012,3485.58,0.76923,1.0073,-129.32,0.06023,-0.0944
0.3,6947.4,22793.0,0.2056,27.3404,25.0398,2.3007,3360.0,0.82946,41.4731,8.5269,0.3,26.3347,23.2215,3.1133,3489.82,0.76923,1.0057,-129.82,0.06023,-0.0944
0.375,6947.4,22793.0,0.2056,27.3795,25.0674,2.3121,3364.8,0.82946,41.4731,8.5269,0.3,26.3758,23.2471,3.1287,3495.26,0.76923,1.0037,-130.46,0.06023,-0.0944
0.45,6947.4,22793.0,0.3006,26.4199,23.2676,3.1523,3502.73,0.76888,38.4438,11.5562,0.3,26.4258,23.2783,3.1475,3501.89,0.76923,-0.0059,0.83,-0.00035,0.0006
0.525,6947.4,22793.0,0.4431,25.2204,21.0033,4.2172,3710.05,0.69295,34.6476,15.3524,0.3,26.4848,23.3152,3.1695,3509.7,0.76923,-1.2643,200.35,-0.07628,0.1431
0.6,6947.4,22793.0,0.5856,24.2634,19.1505,5.1129,3921.72,0.63068,31.5338,18.4662,0.3,26.5525,23.3577,3.1948,3518.68,0.76923,-2.2891,403.04,-0.13855,0.2856
0.675,6947.4,22793.0,0.7281,23.4922,17.6075,5.8847,4138.31,0.57867,28.9335,21.0665,0.3,26.6289,23.4058,3.2231,3528.81,0.76923,-3.1367,609.5,-0.19056,0.4281
0.75,6947.4,22793.0,0.8706,22.8672,16.3034,6.5637,4360.38,0.53459,26.7294,23.2706,0.3,26.7139,23.4594,3.2546,3540.07,0.76923,-3.8468,820.31,-0.23464,0.5706
0.825,6947.4,22793.0,1.0131,22.3599,15.1875,7.1724,4588.45,0.49675,24.8373,25.1627,0.3,26.8074,23.5185,3.2889,3552.46,0.76923,-4.4475,1036.0,-0.27248,0.7131
0.9,6947.4,22793.0,1.1556,21.9494,14.2225,7.7269,4823.04,0.46391,23.1954,26.8046,0.3,26.9092,23.583,3.3262,3565.95,0.76923,-4.9598,1257.1,-0.30532,0.8556
0.975,6947.4,22793.0,1.0931,22.3084,14.6906,7.6178,4759.81,0.47776,23.888,26.112,0.3,27.0192,23.653,3.3662,3580.52,0.76923,-4.7108,1179.28,-0.29147,0.7931
1.05,6947.4,22793.0,1.0306,22.6882,15.191,7.4972,4696.29,0.49247,24.6233,25.3767,0.3,27.1372,23.7283,3.4089,3596.16,0.76923,-4.449,1100.13,-0.27677,0.7306
1.125,6947.4,22793.0,0.9681,23.0893,15.7267,7.3626,4632.22,0.5081,25.4052,24.5948,0.3,27.2631,23.809,3.4541,3612.85,0.76923,-4.1738,1019.37,-0.26113,0.6681
1.2,6947.4,22793.0,0.9056,23.5126,16.3011,7.2115,4567.34,0.52477,26.2385,23.7615,0.3,27.3967,23.8949,3.5019,3630.56,0.76923,-3.8842,936.78,-0.24446,0.6056
1.275,6947.4,22793.0,0.8431,23.9589,16.9181,7.0408,4501.39,0.54256,27.1282,22.8718,0.3,27.538,23.986,3.552,3649.27,0.76923,-3.579,852.12,-0.22667,0.5431
1.35,6947.4,22793.0,0.7806,24.4294,17.5822,6.8472,4434.15,0.56161,28.0804,21.9196,0.3,27.6866,24.0822,3.6044,3668.97,0.76923,-3.2572,765.18,-0.20762,0.4806
1.425,6947.4,22793.0,0.7181,24.9254,18.2985,6.6269,4365.38,0.58204,29.1019,20.8981,0.3,27.8425,24.1836,3.6589,3689.63,0.76923,-2.9171,675.75,-0.18719,0.4181
1.5,6947.4,22793.0,0.6556,25.4485,19.0728,6.3757,4294.86,0.60401,30.2005,19.7995,0.3,28.0055,24.2899,3.7156,3711.23,0.76923,-2.557,583.63,-0.16522,0.3556
1.575,6947.4,22793.0,0.5931,26.0007,19.9119,6.0888,4222.4,0.62771,31.3853,18.6147,0.3,28.1755,24.4013,3.7742,3733.75,0.76923,-2.1748,488.65,-0.14152,0.2931
1.65,6947.4,22793.0,0.5306,26.5842,20.8237,5.7605,4147.79,0.65334,32.6669,17.3331,0.3,28.3522,24.5175,3.8347,3757.17,0.76923,-1.768,390.61,-0.11589,0.2306
1.725,6947.4,22793.0,0.4681,27.2018,21.8173,5.3845,4070.84,0.68115,34.0576,15.9424,0.3,28.5356,24.6385,3.8971,3781.47,0.76923,-1.3337,289.37,-0.08808,0.1681
1.8,6947.4,22793.0,0.4056,27.8569,22.9038,4.9531,3991.4,0.71144,35.572,14.428,0.3,28.7254,24.7643,3.9611,3806.63,0.76923,-0.8685,184.77,-0.05779,0.1056
0.0,7578.9,24865.0,0.2106,27.1477,24.8414,2.3063,3350.15,0.82604,41.3018,8.6982,0.3,26.1925,23.133,3.0594,3470.97,0.76923,0.9552,-120.82,0.05681,-0.0894
0.075,7578.9,24865.0,0.2106,27.152,24.8444,2.3076,3350.68,0.82604,41.3018,8.6982,0.3,26.197,23.1358,3.0612,3471.57,0.76923,0.955,-120.89,0.05681,-0.0894
0.15,7578.9,24865.0,0.2106,27.1649,24.8534,2.3115,3352.28,0.82604,41.3018,8.6982,0.3,26.2106,23.1443,3.0663,3473.37,0.76923,0.9544,-121.09,0.05681,-0.0894
0.225,7578.9,24865.0,0.2106,27.1865,24.8685,2.318,3354.94,0.82604,41.3018,8.6982,0.3,26.2332,23.1583,3.0749,3476.36,0.76923,0.9533,-121.43,0.05681,-0.0894
0.3,7578.9,24865.0,0.2106,27.2166,24.8896,2.327,3358.65,0.82604,41.3018,8.6982,0.3,26.2648,23.1779,3.0868,3480.55,0.76923,0.9518,-121.9,0.05681,-0.0894
0.375,7578.9,24865.0,0.2106,27.2552,24.9167,2.3385,3363.42,0.82604,41.3018,8.6982,0.3,26.3053,23.2032,3.1022,3485.92,0.76923,0.9499,-122.51,0.05681,-0.0894
0.45,7578.9,24865.0,0.3056,26.2997,23.1343,3.1654,3500.19,0.76593,38.2966,11.7034,0.3,26.3547,23.2339,3.1208,3492.47,0.76923,-0.055,7.72,-0.0033,0.0056
0.525,7578.9,24865.0,0.4481,25.1043,20.8904,4.214,3705.77,0.69056,34.528,15.472,0.3,26.4129,23.2703,3.1426,3500.18,0.76923,-1.3086,205.59,-0.07867,0.1481
0.6,7578.9,24865.0,0.5906,24.1498,19.053,5.0967,3915.66,0.62869,31.4347,18.5653,0.3,26.4798,23.3121,3.1677,3509.04,0.76923,-2.33,406.62,-0.14054,0.2906
0.675,7578.9,24865.0,0.7331,23.3798,17.522,5.8579,4130.44,0.577,28.85,21.15,0.3,26.5553,23.3595,3.1958,3519.04,0.76923,-3.1754,611.39,-0.19223,0.4331
0.75,7578.9,24865.0,0.8756,22.7553,16.2273,6.528,4350.64,0.53316,26.6581,23.3419,0.3,26.6392,23.4123,3.2269,3530.17,0.76923,-3.8839,820.47,-0.23607,0.5756
0.825,7578.9,24865.0,1.0181,22.2479,15.119,7.1289,4576.81,0.49552,24.7758,25.2242,0.3,26.7315,23.4705,3.261,3542.4,0.76923,-4.4836,1034.41,-0.27372,0.7181
0.9,7578.9,24865.0,1.1606,21.8368,14.1601,7.6767,4809.44,0.46283,23.1417,26.8583,0.3,26.832,23.5341,3.298,3555.72,0.76923,-4.9952,1253.71,-0.3064,0.8606
0.975,7578.9,24865.0,1.0981,22.1942,14.6246,7.5696,4746.76,0.47662,23.8311,26.1689,0.3,26.9406,23.603,3.3376,3570.11,0.76923,-4.7464,1176.65,-0.29261,0.7981
1.05,7578.9,24865.0,1.0356,22.5723,15.121,7.4513,4683.82,0.49126,24.5628,25.4372,0.3,27.0572,23.6772,3.3799,3585.56,0.76923,-4.4848,1098.26,-0.27798,0.7356
1.125,7578.9,24865.0,0.9731,22.9716,15.6524,7.3193,4620.32,0.50682,25.3408,24.6592,0.3,27.1815,23.7567,3.4248,3602.03,0.76923,-4.2098,1018.29,-0.26241,0.6731
1.2,7578.9,24865.0,0.9106,23.393,16.222,7.171,4556.02,0.5234,26.1698,23.8302,0.3,27.3135,23.8413,3.4722,3619.52,0.76923,-3.9205,936.5,-0.24583,0.6106
1.275,7578.9,24865.0,0.8481,23.8372,16.8337,7.0035,4490.68,0.5411,27.0548,22.9452,0.3,27.4529,23.9311,3.5218,3638.0,0.76923,-3.6157,852.67,-0.22813,0.5481
1.35,7578.9,24865.0,0.7856,24.3055,17.492,6.8135,4424.04,0.56004,28.0018,21.9982,0.3,27.5997,24.0259,3.5738,3657.45,0.76923,-3.2943,766.58,-0.20919,0.4856
1.425,7578.9,24865.0,0.7231,24.7991,18.2018,6.5973,4355.89,0.58035,29.0175,20.9825,0.3,27.7537,24.1258,3.6279,3677.86,0.76923,-2.9546,678.03,-0.18888,0.4231
1.5,7578.9,24865.0,0.6606,25.3196,18.9689,6.3507,4286.01,0.60219,30.1096,19.8904,0.3,27.9147,24.2306,3.684,3699.19,0.76923,-2.595,586.82,-0.16704,0.3606
1.575,7578.9,24865.0,0.5981,25.869,19.8,6.069,4214.2,0.62574,31.2872,18.7128,0.3,28.0825,24.3403,3.7422,3721.43,0.76923,-2.2135,492.77,-0.14349,0.2981
1.65,7578.9,24865.0,0.5356,26.4496,20.7029,5.7467,4140.26,0.65121,32.5606,17.4394,0.3,28.2571,24.4549,3.8022,3744.56,0.76923,-1.8075,395.7,-0.11802,0.2356
1.725,7578.9,24865.0,0.4731,27.064,21.6865,5.3775,4064.02,0.67884,33.942,16.058,0.3,28.4381,24.5741,3.864,3768.56,0.76923,-1.3741,295.45,-0.09039,0.1731
1.8,7578.9,24865.0,0.4106,27.7156,22.7616,4.954,3985.29,0.70892,35.4459,14.5541,0.3,28.6256,24.6981,3.9275,3793.41,0.76923,-0.91,191.88,-0.06031,0.1106
0.0,8210.5,26937.0,0.2157,27.0232,24.6912,2.332,3348.84,0.82257,41.1286,8.8714,0.3,26.1231,23.0901,3.033,3461.78,0.76923,0.9001,-112.94,0.05334,-0.0843
0.075,8210.5,26937.0,0.2157,27.0275,24.6942,2.3333,3349.37,0.82257,41.1286,8.8714,0.3,26.1276,23.0928,3.0347,3462.37,0.76923,0.8999,-113.01,0.05334,-0.0843
0.15,8210.5,26937.0,0.2157,27.0403,24.703,2.3372,3350.95,0.82257,41.1286,8.8714,0.3,26.141,23.1011,3.0399,3464.15,0.76923,0.8993,-113.2,0.05334,-0.0843
0.225,8210.5,26937.0,0.2157,27.0616,24.7178,2.3437,3353.59,0.82257,41.1286,8.8714,0.3,26.1633,23.115,3.0483,3467.11,0.76923,0.8983,-113.51,0.05334,-0.0843
0.3,8210.5,26937.0,0.2157,27.0914,24.7385,2.3529,3357.28,0.82257,41.1286,8.8714,0.3,26.1945,23.1343,3.0602,3471.24,0.76923,0.8969,-113.95,0.05334,-0.0843
0.375,8210.5,26937.0,0.2157,27.1296,24.765,2.3645,3362.02,0.82257,41.1286,8.8714,0.3,26.2345,23.1591,3.0754,3476.54,0.76923,0.8951,-114.52,0.05334,-0.0843
0.45,8210.5,26937.0,0.3107,26.1782,23.0001,3.178,3497.63,0.76295,38.1476,11.8524,0.3,26.2833,23.1894,3.0938,3483.0,0.76923,-0.1051,14.62,-0.00628,0.0107
0.525,8210.5,26937.0,0.4532,24.9871,20.7768,4.2103,3701.45,0.68814,34.4068,15.5932,0.3,26.3407,23.2252,3.1155,3490.62,0.76923,-1.3536,210.83,-0.08109,0.1532
0.6,8210.5,26937.0,0.5957,24.035,18.9549,5.0801,3909.55,0.62668,31.3342,18.6658,0.3,26.4068,23.2664,3.1403,3499.37,0.76923,-2.3717,410.18,-0.14255,0.2957
0.675,8210.5,26937.0,0.7382,23.2664,17.4358,5.8306,4122.49,0.57531,28.7654,21.2346,0.3,26.4813,23.313,3.1682,3509.24,0.76923,-3.2149,613.25,-0.19392,0.4382
0.75,8210.5,26937.0,0.8807,22.6424,16.1507,6.4917,4340.82,0.53172,26.5858,23.4142,0.3,26.5641,23.365,3.1991,3520.22,0.76923,-3.9218,820.6,-0.23751,0.5807
0.825,8210.5,26937.0,1.0232,22.1349,15.05,7.0849,4565.06,0.49427,24.7133,25.2867,0.3,26.6553,23.4224,3.2329,3532.3,0.76923,-4.5204,1032.77,-0.27496,0.7232
0.9,8210.5,26937.0,1.1657,21.7232,14.0973,7.6259,4795.71,0.46174,23.0872,26.9128,0.3,26.7545,23.485,3.2695,3545.45,0.76923,-5.0313,1250.26,-0.30749,0.8657
0.975,8210.5,26937.0,1.1032,22.0791,14.5582,7.5209,4733.61,0.47547,23.7733,26.2267,0.3,26.8617,23.5529,3.3088,3559.66,0.76923,-4.7826,1173.95,-0.29376,0.8032
1.05,8210.5,26937.0,1.0407,22.4554,15.0506,7.4048,4671.23,0.49003,24.5014,25.4986,0.3,26.9768,23.626,3.3508,3574.9,0.76923,-4.5213,1096.33,-0.2792,0.7407
1.125,8210.5,26937.0,0.9782,22.8529,15.5776,7.2754,4608.32,0.50551,25.2755,24.7245,0.3,27.0995,23.7042,3.3953,3591.17,0.76923,-4.2466,1017.15,-0.26372,0.6782
1.2,8210.5,26937.0,0.9157,23.2722,16.1424,7.1299,4544.61,0.522,26.1001,23.8999,0.3,27.2298,23.7876,3.4422,3608.44,0.76923,-3.9576,936.18,-0.24723,0.6157
1.275,8210.5,26937.0,0.8532,23.7144,16.7488,6.9656,4479.86,0.53961,26.9804,23.0196,0.3,27.3675,23.8761,3.4914,3626.68,0.76923,-3.6531,853.18,-0.22962,0.5532
1.35,8210.5,26937.0,0.7907,24.1804,17.4012,6.7791,4413.84,0.55844,27.922,22.078,0.3,27.5124,23.9695,3.5429,3645.89,0.76923,-3.3321,767.95,-0.21079,0.4907
1.425,8210.5,26937.0,0.7282,24.6715,18.1045,6.567,4346.32,0.57864,28.9318,21.0682,0.3,27.6645,24.0679,3.5966,3666.03,0.76923,-2.9929,680.28,-0.19059,0.4282
1.5,8210.5,26937.0,0.6657,25.1895,18.8644,6.3251,4277.08,0.60035,30.0174,19.9826,0.3,27.8234,24.1711,3.6523,3687.1,0.76923,-2.6339,589.98,-0.16888,0.3657
1.575,8210.5,26937.0,0.6032,25.7361,19.6875,6.0486,4205.93,0.62375,31.1876,18.8124,0.3,27.9891,24.2792,3.7099,3709.06,0.76923,-2.253,496.87,-0.14548,0.3032
1.65,8210.5,26937.0,0.5407,26.3137,20.5814,5.7323,4132.67,0.64906,32.4528,17.5472,0.3,28.1615,24.3921,3.7694,3731.9,0.76923,-1.8478,400.77,-0.12018,0.2407
1.725,8210.5,26937.0,0.4782,26.9249,21.5549,5.37,4057.13,0.6765,33.8249,16.1751,0.3,28.3403,24.5096,3.8307,3755.59,0.76923,-1.4154,301.53,-0.09273,0.1782
1.8,8210.5,26937.0,0.4157,27.5731,22.6187,4.9544,3979.12,0.70636,35.3182,14.6818,0.3,28.5254,24.6318,3.8936,3780.13,0.76923,-0.9524,199.0,-0.06287,0.1157
0.0,8842.1,29010.0,0.2207,26.8996,24.5443,2.3554,3347.24,0.8192,40.9601,9.0399,0.3,26.0535,23.0471,3.0064,3452.55,0.76923,0.8462,-105.31,0.04997,-0.0793
0.075,8842.1,29010.0,0.2207,26.9039,24.5472,2.3567,3347.76,0.8192,40.9601,9.0399,0.3,26.0579,23.0498,3.0081,3453.13,0.76923,0.846,-105.37,0.04997,-0.0793
0.15,8842.1,29010.0,0.2207,26.9165,24.5558,2.3607,3349.34,0.8192,40.9601,9.0399,0.3,26.0711,23.0579,3.0132,3454.89,0.76923,0.8454,-105.55,0.04997,-0.0793
0.225,8842.1,29010.0,0.2207,26.9376,24.5703,2.3673,3351.96,0.8192,40.9601,9.0399,0.3,26.0931,23.0715,3.0216,3457.8,0.76923,0.8445,-105.84,0.04997,-0.0793
0.3,8842.1,29010.0,0.2207,26.9671,24.5906,2.3765,3355.63,0.8192,40.9601,9.0399,0.3,26.1239,23.0906,3.0333,3461.88,0.76923,0.8432,-106.25,0.04997,-0.0793
0.375,8842.1,29010.0,0.2207,27.0049,24.6166,2.3883,3360.34,0.8192,40.9601,9.0399,0.3,26.1634,23.115,3.0484,3467.12,0.76923,0.8415,-106.78,0.04997,-0.0793
0.45,8842.1,29010.0,0.3157,26.0573,22.8687,3.1887,3494.76,0.76005,38.0026,11.9974,0.3,26.2115,23.1449,3.0667,3473.5,0.76923,-0.1542,21.27,-0.00918,0.0157
0.525,8842.1,29010.0,0.4582,24.8702,20.6653,4.2049,3696.81,0.68578,34.2888,15.7112,0.3,26.2682,23.1801,3.0882,3481.01,0.76923,-1.398,215.8,-0.08345,0.1582
0.6,8842.1,29010.0,0.6007,23.9204,18.8585,5.0619,3903.1,0.62473,31.2363,18.7637,0.3,26.3334,23.2206,3.1127,3489.64,0.76923,-2.413,413.46,-0.1445,0.3007
0.675,8842.1,29010.0,0.7432,23.153,17.3511,5.8018,4114.19,0.57366,28.6829,21.3171,0.3,26.4069,23.2665,3.1404,3499.39,0.76923,-3.254,614.8,-0.19557,0.4432
0.75,8842.1,29010.0,0.8857,22.5293,16.0752,6.4541,4330.63,0.53031,26.5154,23.4846,0.3,26.4887,23.3177,3.171,3510.23,0.76923,-3.9595,820.4,-0.23892,0.5857
0.825,8842.1,29010.0,1.0282,22.0216,14.982,7.0396,4552.92,0.49305,24.6524,25.3476,0.3,26.5787,23.3742,3.2045,3522.15,0.76923,-4.5571,1030.77,-0.27618,0.7282
0.9,8842.1,29010.0,1.1707,21.6092,14.0354,7.5739,4781.57,0.46068,23.034,26.966,0.3,26.6766,23.4358,3.2408,3535.13,0.76923,-5.0674,1246.44,-0.30855,0.8707
0.975,8842.1,29010.0,1.1082,21.9636,14.4927,7.4709,4720.04,0.47434,23.7169,26.2831,0.3,26.7824,23.5027,3.2798,3549.15,0.76923,-4.8189,1170.89,-0.29489,0.8082
1.05,8842.1,29010.0,1.0457,22.3382,14.9812,7.357,4658.24,0.48883,24.4415,25.5585,0.3,26.896,23.5746,3.3214,3564.2,0.76923,-4.5578,1094.04,-0.2804,0.7457
1.125,8842.1,29010.0,0.9832,22.7339,15.5038,7.2301,4595.91,0.50424,25.2118,24.7882,0.3,27.0172,23.6517,3.3655,3580.26,0.76923,-4.2833,1015.65,-0.265,0.6832
1.2,8842.1,29010.0,0.9207,23.1513,16.0639,7.0874,4532.79,0.52064,26.0322,23.9678,0.3,27.1458,23.7338,3.412,3597.3,0.76923,-3.9945,935.49,-0.24859,0.6207
1.275,8842.1,29010.0,0.8582,23.5913,16.6651,6.9262,4468.64,0.53816,26.9078,23.0922,0.3,27.2817,23.8209,3.4608,3615.31,0.76923,-3.6904,853.33,-0.23108,0.5582
1.35,8842.1,29010.0,0.7957,24.0551,17.3118,6.7433,4403.23,0.55689,27.8443,22.1557,0.3,27.4247,23.9129,3.5118,3634.27,0.76923,-3.3697,768.96,-0.21234,0.4957
1.425,8842.1,29010.0,0.7332,24.5439,18.0087,6.5351,4336.34,0.57697,28.8484,21.1516,0.3,27.5748,24.0098,3.565,3654.15,0.76923,-3.0309,682.18,-0.19226,0.4332
1.5,8842.1,29010.0,0.6707,25.0593,18.7616,6.2977,4267.74,0.59855,29.9276,20.0724,0.3,27.7317,24.1115,3.6202,3674.95,0.76923,-2.6724,592.8,-0.17068,0.3707
1.575,8842.1,29010.0,0.6082,25.6032,19.5768,6.0264,4197.25,0.62181,31.0907,18.9093,0.3,27.8953,24.218,3.6773,3696.62,0.76923,-2.2921,500.63,-0.14742,0.3082
1.65,8842.1,29010.0,0.5457,26.1778,20.4619,5.716,4124.68,0.64696,32.3478,17.6522,0.3,28.0654,24.3291,3.7363,3719.17,0.76923,-1.8876,405.51,-0.12227,0.2457
1.725,8842.1,29010.0,0.4832,26.7859,21.4256,5.3604,4049.84,0.67422,33.7109,16.2891,0.3,28.242,24.4449,3.797,3742.56,0.76923,-1.456,307.27,-0.09501,0.1832
1.8,8842.1,29010.0,0.4207,27.4307,22.4783,4.9524,3972.56,0.70388,35.1939,14.8061,0.3,28.4247,24.5653,3.8594,3766.78,0.76923,-0.994,205.77,-0.06535,0.1207
0.0,9473.7,31082.0,0.2258,26.7748,24.3964,2.3783,3345.62,0.81579,40.7897,9.2103,0.3,25.9835,23.0039,2.9795,3443.27,0.76923,0.7913,-97.66,0.04656,-0.0742
0.075,9473.7,31082.0,0.2258,26.7789,24.3993,2.3797,3346.14,0.81579,40.7897,9.2103,0.3,25.9878,23.0066,2.9812,3443.85,0.76923,0.7911,-97.71,0.04656,-0.0742
0.15,9473.7,31082.0,0.2258,26.7915,24.4078,2.3837,3347.7,0.81579,40.7897,9.2103,0.3,26.0009,23.0147,2.9862,3445.58,0.76923,0.7906,-97.88,0.04656,-0.0742
0.225,9473.7,31082.0,0.2258,26.8123,24.422,2.3903,3350.31,0.81579,40.7897,9.2103,0.3,26.0226,23.028,2.9946,3448.46,0.76923,0.7897,-98.15,0.04656,-0.0742
0.3,9473.7,31082.0,0.2258,26.8415,24.4418,2.3996,3353.95,0.81579,40.7897,9.2103,0.3,26.053,23.0468,3.0062,3452.49,0.76923,0.7885,-98.53,0.04656,-0.0742
0.375,9473.7,31082.0,0.2258,26.8789,24.4673,2.4116,3358.63,0.81579,40.7897,9.2103,0.3,26.092,23.0708,3.0211,3457.65,0.76923,0.7869,-99.02,0.04656,-0.0742
0.45,9473.7,31082.0,0.3208,25.9352,22.7364,3.1988,3491.87,0.75712,37.8558,12.1442,0.3,26.1395,23.1002,3.0393,3463.94,0.76923,-0.2042,27.92,-0.01211,0.0208
0.525,9473.7,31082.0,0.4633,24.7521,20.5531,4.199,3692.13,0.68339,34.1693,15.8307,0.3,26.1954,23.1349,3.0605,3471.36,0.76923,-1.4433,220.77,-0.08584,0.1633
0.6,9473.7,31082.0,0.6058,23.8047,18.7615,5.0432,3896.59,0.62274,31.1371,18.8629,0.3,26.2597,23.1748,3.0849,3479.88,0.76923,-2.455,416.71,-0.14649,0.3058
0.675,9473.7,31082.0,0.7483,23.0384,17.2659,5.7725,4105.82,0.57198,28.5992,21.4008,0.3,26.3323,23.2199,3.1123,3489.49,0.76923,-3.2939,616.32,-0.19725,0.4483
0.75,9473.7,31082.0,0.8908,22.4151,15.9993,6.4158,4320.34,0.52888,26.4438,23.5562,0.3,26.413,23.2703,3.1427,3500.19,0.76923,-3.9979,820.15,-0.24035,0.5908
0.825,9473.7,31082.0,1.0333,21.9072,14.9135,6.9937,4540.67,0.49181,24.5906,25.4094,0.3,26.5017,23.3259,3.1759,3511.95,0.76923,-4.5945,1028.72,-0.27742,0.7333
0.9,9473.7,31082.0,1.1758,21.4942,13.973,7.5212,4767.29,0.4596,22.9801,27.0199,0.3,26.5984,23.3866,3.2118,3524.76,0.76923,-5.1041,1242.53,-0.30963,0.8758
