mach,altitude_m,h_m,r_m,theta_deg,T_ambient_K,P_ambient_Pa,p_recovery,dc60,meets_mil,P_fan_face_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,thrust_N,tsfc,isp_s,fuel_flow_kg_s,V_exit_m_s
1.4,15000,0.1,0.04,25.0,216.65,22630.6,0.993744,0.043441,1,22489.0,532.7,404802.8,1379.87,392658.7,1028.7,120213.5,8689.84,0.00011508,885.814,1.0,586.892
1.4,15000,0.15,0.04,5.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.15,0.04,10.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.15,0.04,15.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.15,0.04,20.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.15,0.04,25.0,216.65,22630.6,0.993744,0.063441,1,22489.0,532.7,404802.8,1379.87,392658.7,1028.7,120213.5,8689.84,0.00011508,885.814,1.0,586.892
1.4,15000,0.2,0.04,5.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.2,0.04,10.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.2,0.04,15.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.2,0.04,20.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.2,0.04,25.0,216.65,22630.6,0.993744,0.083441,1,22489.0,532.7,404802.8,1379.87,392658.7,1028.7,120213.5,8689.84,0.00011508,885.814,1.0,586.892
1.4,15000,0.25,0.04,5.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
